2.795870480000000,SPI,MOSI: 0x24;  MISO: 0x2E-WRITE_REGISTER-SETUP_RETR
2.795880240000000,SPI,MOSI: 0x00;  MISO: 0x00
2.795899160000000,SPI,MOSI: 0x26;  MISO: 0x2E-WRITE_REGISTER-RF_SETUP
2.795908920000000,SPI,MOSI: 0x24;  MISO: 0x00
2.795927840000000,SPI,MOSI: 0x20;  MISO: 0x2E-WRITE_REGISTER-CONFIG
2.795937600000000,SPI,MOSI: 0x5E;  MISO: 0x00
2.795956520000000,SPI,MOSI: 0x31;  MISO: 0x2E-WRITE_REGISTER-RX_PW_P0
2.795966280000000,SPI,MOSI: 0x04;  MISO: 0x00
2.795981560000000,SPI,MOSI: 0x25;  MISO: 0x2E-WRITE_REGISTER-RF_CH
2.795991600000000,SPI,MOSI: 0x1D;  MISO: 0x00
2.796006120000000,SPI,MOSI: 0xE1;  MISO: 0x2E-FLUSH_TX-
2.796024240000000,SPI,MOSI: 0x27;  MISO: 0x2E-WRITE_REGISTER-STATUS
2.796034040000000,SPI,MOSI: 0xF0;  MISO: 0x00
2.796049040000000,SPI,MOSI: 0xA0;  MISO: 0x0E-WRITE_TX_PAYLOAD-
2.796059080000000,SPI,MOSI: 0xF9;  MISO: 0x00
2.796069080000000,SPI,MOSI: 0xFD;  MISO: 0x00
2.796079120000000,SPI,MOSI: 0x90;  MISO: 0x00
2.796089120000000,SPI,MOSI: 0xFF;  MISO: 0x00
2.796099160000000,SPI,MOSI: 0x75;  MISO: 0x00
2.797717840000000,SPI,MOSI: 0xE1;  MISO: 0x2E-FLUSH_TX-
2.797735960000000,SPI,MOSI: 0x27;  MISO: 0x2E-WRITE_REGISTER-STATUS
2.797745720000000,SPI,MOSI: 0xF0;  MISO: 0x00
2.797760760000000,SPI,MOSI: 0xA0;  MISO: 0x0E-WRITE_TX_PAYLOAD-
2.797770760000000,SPI,MOSI: 0xF9;  MISO: 0x00
2.797780800000000,SPI,MOSI: 0xFD;  MISO: 0x00
2.797790800000000,SPI,MOSI: 0x90;  MISO: 0x00
2.797800800000000,SPI,MOSI: 0xFF;  MISO: 0x00
2.797810840000000,SPI,MOSI: 0x75;  MISO: 0x00
2.813987800000000,SPI,MOSI: 0x21;  MISO: 0x2E-WRITE_REGISTER-EN_AA
2.813997560000000,SPI,MOSI: 0x00;  MISO: 0x00
2.814016480000000,SPI,MOSI: 0x22;  MISO: 0x2E-WRITE_REGISTER-EN_RXADDR
2.814026280000000,SPI,MOSI: 0x01;  MISO: 0x00
2.814045200000000,SPI,MOSI: 0x23;  MISO: 0x2E-WRITE_REGISTER-SETUP_AW
